episode_id,season,episode,episode_code,title,airdate,year,runtime_minutes,rating,summary,source_url,summary_word_count,rule_category_count,primary_rule_theme,conflict_signal_count,conflict_signals_per_100_words,synopsis_friction_score,character_count,theme__Etiquette & manners,theme__Truth & trust,theme__Space & access,theme__Relationships & loyalty,theme__Identity & language,theme__Money & exchange,theme__Health & body,theme__Reputation & status,character__Larry,character__Cheryl,character__Jeff,character__Susie,character__Leon,character__Richard,character__Ted,character__Marty
51119,2,1,S02E01,The Car Salesman,2001-09-23,2001,30,8.1,"Living out of a hotel (they were fed up with ""the wire"" at their old home), Larry and Cheryl make a successful bid on a seaside chateau owned by Jason Alexander's new agent, Jay Schneider. Moving in, however, they learn their new dream home has a disturbing ""house sound"" of unknown origin. Meanwhile, Larry shocks his wife and friends by deciding to take a job as a car salesman, but is foiled by when ""high maintenance"" friend Richard Lewis shows up at the dealership.",https://www.tvmaze.com/episodes/51119/curb-your-enthusiasm-2x01-the-car-salesman,84,3,Relationships & loyalty,0,0.0,34.08,3,0,0,2,4,0,1,0,0,1,1,0,0,0,1,0,0
51120,2,2,S02E02,Thor,2001-09-30,2001,30,7.9,"While going to meet Jason Alexander to discuss an idea for a new TV project, Larry has a run-in with professional wrestler Thor Olsen. Thor accuses Larry of ""shooting at his kids"", and Larry thinks Thor slashed his tires. Meanwhile, Jeff separates from Suzie, and asks Larry to go pick up his clothes. Doing so incurs the wrath of Suzie, and he asks Jeff to repay the favor by letting the air out of Thor's tires.",https://www.tvmaze.com/episodes/51120/curb-your-enthusiasm-2x02-thor,77,1,Truth & trust,1,1.299,24.24,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
51121,2,3,S02E03,Trick or Treat,2001-10-07,2001,30,8.3,"Larry offends some uncostumed trick or treaters when he doesn't give them candy. By doing so, he sees the ""trick"" side of Halloween. Larry also alienates Cheryl's screenwriter friend Cliff, and a Jewish neighbor. Larry also spoils his romantic anniversary present when Jeff shows up to play a round of golf.",https://www.tvmaze.com/episodes/51121/curb-your-enthusiasm-2x03-trick-or-treat,51,4,Relationships & loyalty,1,1.961,45.12,3,0,0,1,2,1,0,0,1,1,1,1,0,0,0,0,0
51122,2,4,S02E04,The Shrimp Incident,2001-10-14,2001,30,8.1,"Larry gets take out food and has a run-in with a TV executive, the same one he is about to meet with to discuss his TV pilot idea. But after getting home, he accuses the network exec of taking some shrimp from his dinner.",https://www.tvmaze.com/episodes/51122/curb-your-enthusiasm-2x04-the-shrimp-incident,45,2,Etiquette & manners,1,2.222,28.4,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
51123,2,5,S02E05,The Thong,2001-10-21,2001,30,7.4,Larry no longer feels comfortable going to his psychiatrist after he sees him wearing a thong at the beach.,https://www.tvmaze.com/episodes/51123/curb-your-enthusiasm-2x05-the-thong,19,0,Other social friction,0,0.0,2.28,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
51124,2,6,S02E06,The Acupuncturist,2001-10-28,2001,30,7.4,"Larry promises to pay an acupuncturist $5,000 if he can cure his neck. Meanwhile, a struggling writer asks Larry for a $5,000 loan which he promises to pay back after his father dies.",https://www.tvmaze.com/episodes/51124/curb-your-enthusiasm-2x06-the-acupuncturist,31,2,Money & exchange,0,0.0,19.72,1,0,2,0,0,0,3,0,0,1,0,0,0,0,0,0,0
51125,2,7,S02E07,The Doll,2001-11-04,2001,30,8.9,"As part of a deal with ABC, Larry agrees to attend a screening of a new mini series. While at the after-party, Larry finds that the bathroom doors have no locks, so he goes to use the upstairs bathroom, and the network exec's daughter asks him to cut the hair off her doll's head. He does so, but it incurs the wrath of Suzie, a theater-goer, and the network exec's wife.",https://www.tvmaze.com/episodes/51125/curb-your-enthusiasm-2x07-the-doll,73,3,Space & access,0,0.0,32.76,1,1,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0
51126,2,8,S02E08,Shaq,2001-11-11,2001,30,8.8,"After Larry accidentally trips and injures Shaq during a Lakers game, everything seems to start going his way.",https://www.tvmaze.com/episodes/51126/curb-your-enthusiasm-2x08-shaq,18,0,Other social friction,0,0.0,2.16,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
51127,2,9,S02E09,The Baptism,2001-11-18,2001,30,7.8,"Cheryl and Larry head to Monterey to attend her sister's wedding. Larry is peeved that the man her sister is marrying is a Jewish man converting to Christianity. But Larry has even bigger fish to fry when he misplaces his plane tickets, and accuses the other passengers of stealing them.",https://www.tvmaze.com/episodes/51127/curb-your-enthusiasm-2x09-the-baptism,50,5,Identity & language,1,2.0,53.0,2,1,1,1,1,2,0,0,0,1,1,0,0,0,0,0,0
51128,2,10,S02E10,The Massage,2001-11-25,2001,30,8.2,"In the second season finale, Larry is busted by a restaurant owner for stealing forks. Julia Louis-Dreyfus becomes so frustrated by the incident that she drops out of the pilot, and that ends Larry's quest to get it on TV. Meanwhile, Cheryl learns that Larry got a naughty massage, and he's busted for that. Larry later faces an ironic punishment for his restaurant crimes.",https://www.tvmaze.com/episodes/51128/curb-your-enthusiasm-2x10-the-massage,65,3,Space & access,0,0.0,31.8,2,0,0,2,1,0,2,0,0,1,1,0,0,0,0,0,0
51129,3,1,S03E01,Chet's Shirt,2002-09-15,2002,30,8.4,"While comforting a friend whose husband passed away, Larry and Cheryl comment on the husband's shirt. Larry then goes to the department store the next day to buy it. Meanwhile, Jeff talks Larry into investing in a trendy new celebrity restaurant. Larry also gets into trouble when he throws away some trash in a random garbage can.",https://www.tvmaze.com/episodes/51129/curb-your-enthusiasm-3x01-chets-shirt,57,4,Relationships & loyalty,1,1.754,45.84,3,0,0,2,4,0,2,0,1,1,1,1,0,0,0,0,0
51130,3,2,S03E02,The Benadryl Brownie,2002-09-22,2002,30,7.4,"Thanks to Larry's miscommunication on his new cell phone, Richard Lewis' girlfriend succumbs to peanut allergies a week before they're supposed to go to the Emmy Awards. A practicing Christian Scientist, she doesn't take any medicine, so Richard and Larry devise a scheme to cook up some brownies laced with medicine. Like all things Larry does, the plan backfires.",https://www.tvmaze.com/episodes/51130/curb-your-enthusiasm-3x02-the-benadryl-brownie,59,3,Etiquette & manners,1,1.695,43.08,2,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
51131,3,3,S03E03,Club Soda and Salt,2002-09-29,2002,30,7.6,"Larry, Jeff, and Ted scramble to find a chef for the new restaurant, but Larry doesn't like Ted's recommendation. While trying to find a replacement, Larry learns a few things - Cheryl has a new, male, tennis playing friend, people won't take a wedding gift after a year, and that club soda and salt will get stains out of anything.",https://www.tvmaze.com/episodes/51131/curb-your-enthusiasm-3x03-club-soda-and-salt,59,4,Etiquette & manners,0,0.0,39.08,4,2,0,2,2,0,1,0,0,1,1,1,0,0,0,1,0
51132,3,4,S03E04,The Nanny from Hell,2002-10-06,2002,30,7.8,"The restaurant investors plan a pool party, but only Larry and Jeff show up. Larry goes to use the bathroom in the main house, and winds up getting the nanny fired. Larry recommends the nanny to Jeff and Susie. After the nanny snaps, Suzie's life is threatened. Meanwhile, Richard Lewis tries to get into Bartlett's Book Of Quotations for claiming to have invented the phrase ""the ______ from hell"".",https://www.tvmaze.com/episodes/51132/curb-your-enthusiasm-3x04-the-nanny-from-hell,68,3,Space & access,1,1.471,39.16,4,1,0,2,0,0,1,0,0,1,0,1,1,0,1,0,0
51133,3,5,S03E05,The Terrorist Attack,2002-10-13,2002,30,7.9,"Wanda Sykes unknowingly starts a rumor about a terrorist attack when she tells Larry about it. Meanwhile, Cheryl's friend is planning a benefit concert with Alanis Morisette performing. When people skip town because of the rumors, the benefit is canceled, and the blame is placed squarely on Larry.",https://www.tvmaze.com/episodes/51133/curb-your-enthusiasm-3x05-the-terrorist-attack,48,2,Truth & trust,0,0.0,21.76,2,0,2,0,2,0,0,0,0,1,1,0,0,0,0,0,0
51134,3,6,S03E06,The Special Section,2002-10-20,2002,30,8.0,"Larry is distraught when he learns that his mother died while he was off shooting a movie in New York, and he doesn't learn about the news until two days after the funeral. Larry uses the loss to get out of a number of unappealing invitations, while plotting to move his mother away from the ""special section"" of the cemetery.",https://www.tvmaze.com/episodes/51134/curb-your-enthusiasm-3x06-the-special-section,60,2,Etiquette & manners,0,0.0,23.2,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
51135,3,7,S03E07,The Corpse-Sniffing Dog,2002-10-27,2002,30,7.9,"Suzie buys a guard dog, and Jeff has to leave the house because of allergies. Larry has to persuade Jeff's daughter Sammy to give up the dog, but Sammy wont. Larry, concerned, tries to find a way to please both Jeff and some friends who are also vying for the dog.",https://www.tvmaze.com/episodes/51135/curb-your-enthusiasm-3x07-the-corpse-sniffing-dog,51,2,Relationships & loyalty,0,0.0,22.12,2,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0
51136,3,8,S03E08,Krazee-Eyez Killa,2002-11-03,2002,30,8.0,"Wanda Sykes' has a new boyfriend, gangsta rapper Krazee-Eyez Killa, who shares a little more with his new friend Larry David than a replacement jacket needed for a scene in the new Martin Scorcese film. Meanwhile, Larry offends Suzie by not taking the tour of her new house. Ultimately, in typical Larry David fashion, he ruins everything, through a conversation he has with Cheryl, where she does all the talking.",https://www.tvmaze.com/episodes/51136/curb-your-enthusiasm-3x08-krazee-eyez-killa,71,2,Relationships & loyalty,1,1.408,31.52,2,0,0,0,3,0,0,0,1,1,1,0,0,0,0,0,0
51137,3,9,S03E09,"Mary, Joseph and Larry",2002-11-10,2002,30,7.6,"It's December 23rd, and Larry gets up to get a midnight snack. He eats some cookies in the refrigerator. Unfortunately, those cookies were a nativity scene that Cheryl's devoutly religious sister was preparing, and being Christmas Eve, it's too late to get a replacement. Larry scrambles to find a replacement, which he does in the form of a live nativity scene at a local church. But a hair stuck in Larry's throat means no nativity scene.",https://www.tvmaze.com/episodes/51137/curb-your-enthusiasm-3x09-mary-joseph-and-larry,76,1,Relationships & loyalty,0,0.0,17.12,2,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
51138,3,10,S03E10,The Grand Opening,2002-11-17,2002,30,8.0,"In the third season finale, Bobo's Restaurant is two days away from being scheduled to open. Larry discovers that the head chef was hired under false pretenses for pretending to be bald. After firing the chef, Larry and Jeff scramble to find a replacement. During the process, Larry accidentally injures the most influential food critic in Los Angeles, who is coming to the opening. The food critic recommends a chef from New York, who turns out to have a rather interesting quirk. Meanwhile, Cheryl has a tense confrontation with Susie after she bails on lunch after getting stuck in a car wash.",https://www.tvmaze.com/episodes/51138/curb-your-enthusiasm-3x10-the-grand-opening,102,3,Space & access,1,0.98,43.0,4,0,0,2,1,0,1,0,0,1,1,1,1,0,0,0,0
51139,4,1,S04E01,Mel's Offer,2004-01-04,2004,30,7.7,"Mel Brooks sees Larry performing some karaoke at a bar one night and is quickly impressed with his singing abilities. He then invites Larry to audition to star in a Broadway production of ""The Producers"". But the deal quickly goes south once Mel hits Larry in the head and Larry's doctor drools on him.",https://www.tvmaze.com/episodes/51139/curb-your-enthusiasm-4x01-mels-offer,54,2,Etiquette & manners,0,0.0,22.48,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
51140,4,2,S04E02,Ben's Birthday Party,2004-01-11,2004,30,8.0,"Mel Brooks taps Ben Stiller to be Larry's co-star in The Producers. But when Larry accidentally punctures Ben Stiller in the eye during a birthday party game gone wrong, Ben drops out of the production.",https://www.tvmaze.com/episodes/51140/curb-your-enthusiasm-4x02-bens-birthday-party,36,1,Etiquette & manners,0,0.0,12.32,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
51141,4,3,S04E03,The Blind Date,2004-01-18,2004,30,8.4,"Larry makes a last-ditch effort to keep Ben Stiller in The Producers, and tries to keep a friend happy by setting him up with a blind date. Meanwhile, Jeff's bizarre sexual fantasy gets out in the open.",https://www.tvmaze.com/episodes/51141/curb-your-enthusiasm-4x03-the-blind-date,38,1,Relationships & loyalty,0,0.0,12.56,2,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0
51142,4,4,S04E04,The Weatherman,2004-01-25,2004,30,8.1,Larry questions a weatherman's ability to manipulate the media so he can have the country club to himself.,https://www.tvmaze.com/episodes/51142/curb-your-enthusiasm-4x04-the-weatherman,18,1,Space & access,0,0.0,10.16,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
51143,4,5,S04E05,The 5 Wood,2004-02-01,2004,30,7.9,"Still thinking he flirted with her, Dalilah the Hygienist officially asks Larry out, but Oscar the dog causes a problem. Leo Funkhauser succumbs to the ""good"" Hodgkin's. During the viewing, Larry is disgusted to see what appears to be his five wood in the casket with Leo, and asks Jeff to switch clubs with Leo. The result of the incident finds Larry being kicked out of the country club and having to cheat his way into a republican club.",https://www.tvmaze.com/episodes/51143/curb-your-enthusiasm-4x05-the-5-wood,79,1,Space & access,0,0.0,17.48,2,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0
51144,4,6,S04E06,The Car Pool Lane,2004-02-08,2004,30,8.7,"Larry scrambles to find tickets to a very promising Dodger game. But before he can go, he has to take care of a few things first. The duties include getting out of jury duty, driving a friend to the airport, and scoring some medical marijuana for his dad's glaucoma. Thankfully a run-in with a rather large hooker helps make all the chores easier.",https://www.tvmaze.com/episodes/51144/curb-your-enthusiasm-4x06-the-car-pool-lane,64,4,Space & access,0,0.0,39.68,1,1,0,2,1,0,0,1,0,1,0,0,0,0,0,0,0
51145,4,7,S04E07,The Surrogate,2004-02-22,2004,30,8.3,"Larry needs a clean bill of health for the Producers, but a little heart trouble means no dice. The doctor gives Larry a device called a ""heart holter"" that is used to monitor his heart. Larry uses the device to get out of some unappealing situations including a baby shower, accusations of blatant racism, and a car accident, which lands him in trouble with his Producers co-star David Schwimmer.",https://www.tvmaze.com/episodes/51145/curb-your-enthusiasm-4x07-the-surrogate,70,3,Health & body,2,2.857,46.4,1,0,0,1,0,0,1,5,0,1,0,0,0,0,0,0,0
51146,4,8,S04E08,Wandering Bear,2004-02-29,2004,30,7.9,"Larry and Jeff decide to buy a ""Girls Gone Wild"" video tape, and that lands them both in the hot seat with Larry's secretary and Jeff's wife after the dog leaves the house during the viewing of the tape. Meanwhile, Larry seeks the help of his native American gardener to cure Cheryl of a feminine problem after Larry mistakenly wears a condom inside out.",https://www.tvmaze.com/episodes/51146/curb-your-enthusiasm-4x08-wandering-bear,64,4,Relationships & loyalty,0,0.0,39.68,3,0,1,1,2,0,1,0,0,1,1,1,0,0,0,0,0
51147,4,9,S04E09,The Survivor,2004-03-07,2004,30,8.3,"At a dinner party, generations collide when a contestant from the television show ""Survivor"" and a holocaust survivor butt heads, and Larry is caught in the middle. Larry and Cheryl renew their vows, but Larry has a hard time remembering his vows - or his lines for The Producers.",https://www.tvmaze.com/episodes/51147/curb-your-enthusiasm-4x09-the-survivor,48,3,Etiquette & manners,0,0.0,29.76,2,2,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
51148,4,10,S04E10,Opening Night,2004-03-14,2004,60,8.9,"In the fourth-season finale, Larry David flies to New York with fellow performers David Schwimmer and Cady Huffman to star on Broadway in ""The Producers"". Along the way, he argues with Schwimmer, develops a strange relationship with Huffman, finds he's tipping way too often and attempts to use his 10th anniversary gift from Cheryl. On stage, Larry and David put aside their differences and blow the audience away - unexpectedly, Mel Brooks isn't impressed.",https://www.tvmaze.com/episodes/51148/curb-your-enthusiasm-4x10-opening-night,74,3,Etiquette & manners,0,0.0,32.88,2,3,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0
51149,5,1,S05E01,The Larry David Sandwich,2005-09-25,2005,30,7.4,"Larry is changed by a near-death experience, a revelation about his father, and a sandwich named after him.",https://www.tvmaze.com/episodes/51149/curb-your-enthusiasm-5x01-the-larry-david-sandwich,19,1,Health & body,0,0.0,10.28,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
51150,5,2,S05E02,The Bowtie,2005-10-02,2005,30,8.2,"Wanda Sykes thinks Larry purposefully adopted a dog she deems ""racist"", Larry falls off his pedestal as a friend of the lesbian community, and Larry hires a private investigator to uncover some information about his past.",https://www.tvmaze.com/episodes/51150/curb-your-enthusiasm-5x02-the-bowtie,36,1,Relationships & loyalty,0,0.0,12.32,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
51151,5,3,S05E03,The Christ Nail,2005-10-09,2005,30,8.5,"Larry goes bra-shopping for his maid, landing him in trouble with her husband and his neighbors.",https://www.tvmaze.com/episodes/51151/curb-your-enthusiasm-5x03-the-christ-nail,17,1,Relationships & loyalty,1,5.882,17.04,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
51152,5,4,S05E04,Kamikaze Bingo,2005-10-16,2005,30,8.3,"Larry offends a Japanese art dealer by implying that his father was not a real Kamikaze pilot. Later, Larry accuses his own dad's retirement home of fixing their bingo game.",https://www.tvmaze.com/episodes/51152/curb-your-enthusiasm-5x04-kamikaze-bingo,30,2,Truth & trust,2,6.667,33.6,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
51153,5,5,S05E05,Lewis Needs a Kidney,2005-10-30,2005,30,8.0,"Larry learns that Richard Lewis is bedridden and needs a kidney transplant. Larry and Jeff both turn up as positive matches for Lewis, but neither one are willing to give up their precious organs that easily.",https://www.tvmaze.com/episodes/51153/curb-your-enthusiasm-5x05-lewis-needs-a-kidney,36,1,Health & body,0,0.0,12.32,3,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
51154,5,6,S05E06,The Smoking Jacket,2005-11-06,2005,30,8.1,"Larry joins the ""Make A Wish"" foundation, and swaps his smoking jacket with Hugh Hefner.",https://www.tvmaze.com/episodes/51154/curb-your-enthusiasm-5x06-the-smoking-jacket,15,0,Other social friction,0,0.0,1.8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
51155,5,7,S05E07,The Seder,2005-11-13,2005,30,8.7,"A sex offender (Rob Corddry) moves into the neighborhood, and becomes friends with Larry. Larry also suspects that Dr. Mark is stealing his newspaper, after his neighbor Ethel claims she saw him take it. Tension mounts when all of these people are guests at Larry's Passover Seder.",https://www.tvmaze.com/episodes/51155/curb-your-enthusiasm-5x07-the-seder,47,4,Etiquette & manners,2,4.255,51.64,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0
51156,5,8,S05E08,The Ski Lift,2005-11-20,2005,30,8.8,"Larry's quest to get Richard Lewis a kidney takes a turn when Larry learns about the head of the kidney consortium. After befriending the guy, Larry invites him and his daughter on a ski trip. Like everything Larry does, the trip ends as badly as it started.",https://www.tvmaze.com/episodes/51156/curb-your-enthusiasm-5x08-the-ski-lift,47,2,Health & body,0,0.0,21.64,2,1,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0
51157,5,9,S05E09,The Korean Bookie,2005-11-27,2005,30,8.5,"Larry takes his chances with a Korean Bookie. While Cheryl's friends get married on the beach, Larry accuses the Korean Bookie of cooking up Jeff's dog and serving him for dinner.",https://www.tvmaze.com/episodes/51157/curb-your-enthusiasm-5x09-the-korean-bookie,31,3,Relationships & loyalty,1,3.226,34.72,3,1,1,0,2,0,0,0,0,1,1,1,0,0,0,0,0
51158,5,10,S05E10,The End,2005-12-04,2005,42,8.8,"In the 5th season finale, Larry discovers who his real parents are, and flies to Arizona to meet them. After a life-changing religious revelation, Larry decides to give Richard Lewis his kidney. Will Larry survive the operation... or is it the end?",https://www.tvmaze.com/episodes/51158/curb-your-enthusiasm-5x10-the-end,43,2,Relationships & loyalty,0,0.0,21.16,2,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
51159,6,1,S06E01,Meet The Blacks,2007-09-09,2007,30,8.8,"After Larry's quest to find the perfect excuse for missing a pair of parties backfires on him big time, he gets in a tense, heated fight with Cheryl. So to make up for it, he agrees to take in the Black Family, who lost their home in Hurricane Edna. But can the Blacks deal with Larry's total recklessness and lack of respect, not to mention his poorly planned pastry selection?",https://www.tvmaze.com/episodes/51159/curb-your-enthusiasm-6x01-meet-the-blacks,70,3,Relationships & loyalty,2,2.857,51.4,2,0,0,0,2,2,0,0,1,1,1,0,0,0,0,0,0
51160,6,2,S06E02,The Anonymous Donor,2007-09-16,2007,30,8.5,"Larry decides to be nice for a change and actually donate money to a worthy cause. But when he's revealed to be the anonymous donor for the hospital wing, Larry goes ballistic. He then accuses a dry cleaner of giving his jersey to someone else, and goes off in search of it. Meanwhile, Larry, Jeff, and the Blacks get their reputation stained.",https://www.tvmaze.com/episodes/51160/curb-your-enthusiasm-6x02-the-anonymous-donor,62,5,Truth & trust,1,1.613,54.44,2,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0
51161,6,3,S06E03,The Ida Funkhouser Roadside Memorial,2007-09-23,2007,30,8.5,"A sweaty $50 bill, a sample abuser, a roadside memorial, and a private school superintendent are all things that intimidate Larry while he tries to help Marty Funkhauser cope with the sudden death of his mother in a freak accident.",https://www.tvmaze.com/episodes/51161/curb-your-enthusiasm-6x03-the-ida-funkhouser-roadside-memorial,39,2,Money & exchange,0,0.0,20.68,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1
51162,6,4,S06E04,The Lefty Call,2007-09-30,2007,30,8.0,Questions about Larry's bathroom habits become concern when Larry gets Richard Lewis' girlfriend a job at a place across the hall from his office. Meanwhile an incident involving a waiter and some take-out food threatens Jeff's dog.,https://www.tvmaze.com/episodes/51162/curb-your-enthusiasm-6x04-the-lefty-call,38,4,Space & access,1,2.632,43.56,3,1,0,2,1,0,1,0,0,1,0,1,0,0,1,0,0
51163,6,5,S06E05,The Freak Book,2007-10-07,2007,30,8.5,"Larry's birthday gift to Ted Danson - a coffee table book called ""Mondo Freaks"" gets him in trouble with everyone he shows the book to, which includes Ted, the limo driver, tennis star John McEnroe, a group of random mourners, and Paul McCartney's ex-wife Heather Mills.",https://www.tvmaze.com/episodes/51163/curb-your-enthusiasm-6x05-the-freak-book,46,2,Etiquette & manners,1,2.174,28.52,2,3,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
